CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41091,CLS,121,B,3,Classical Mythology,TR,10:00 am-12:00 pm,Denise E. McCoskey (P),01/02-01/21,IRV 126
,,,,,,TR,01:00 pm-03:00 pm,TBA,01/02-01/21,IRV 126
41239,CLS,299A,A,6,Discovering Greece,,TBA,Emily Michelle Rush (P),01/02-01/21,WEB
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41204,CEC,460A,A,3,Engineering & Technology:India,,TBA,Shashi B. Lalvani (P); Amit Shukla,12/26-01/22,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41201,CCA,111,A,3,Innov; Creat.; & Des Thinking,,TBA,Michael Bailey-Van Kuren (P),01/02-01/13,TBA
41186,CCA,121,A,3,Intro to Integrated ArtsCultur,,TBA,Julia M. Guichard (P); Harvey P. Thurmer,12/30-01/20,TBA
41187,CCA,221,A,3,ImersonIntegrated Arts&Culture,,TBA,Julia M. Guichard (P); Harvey P. Thurmer,12/30-01/20,TBA
41265,CCA,399M,A,3,Music Busines - Nashville,,TBA,Todd Stuart (P),01/02-01/21,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40997,CSE,148,A,3,Business Computing,,TBA,David James Scoville (P),01/02-01/21,WEB
41318,CSE,148,B,3,Business Computing,,TBA,Rebecca Lynn Cruez (P),01/02-01/21,WEB
41319,CSE,148,C,3,Business Computing,,TBA,David James Scoville (P),01/02-01/21,WEB
41020,CSE,174,A,3,Fundmntls-Progrming&Prob Solvg,MTRF,09:00 am-11:10 am,Vijayalakshmi Ramasamy (P); Jose Luis Pastrana-Brincones,01/02-01/21,BEN 016
,,,,,,MTRF,02:00 pm-04:25 pm,Jose Luis Pastrana-Brincones ; Vijayalakshmi Ramasamy,01/02-01/21,BEN 016
40858,CSE,262,A,3,Tech;Ethics & Global Society,,TBA,Norman J. Krumpe (P),01/02-01/21,WEB
,,,,,,S,06:00 pm-08:00 pm,Norman J. Krumpe,01/21-01/21,BEN
40915,CSE,270E,A,3,Javascript; NodeJS & Web,,TBA,Scott T. Campbell (P),01/02-01/21,WEB
40777,CSE,271,A,3,Object-Oriented Programming,MTRF,08:00 am-12:35 pm,Michael C. Stahr (P),01/02-01/21,BEN 001
