CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
20182,AES,122,B,1,Fndtns of the U.S. Air Force,R,01:00 pm-01:55 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
20183,AES,211,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
20184,AES,222,A,1,The Development Of Air Power,T,01:00 pm-01:55 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford ; Apollo-Rex Michael-Kenneth Revelee,01/23-05/13,MIL 061
20324,AES,222,B,1,The Development Of Air Power,R,02:30 pm-03:25 pm,Allison Marie Galford (P); Jeffrey Thomas Guttman ; Apollo-Rex Michael-Kenneth Revelee,01/23-05/13,MIL 061
20185,AES,311,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
20186,AES,332,A,3,Aerospace Ldrshp & Management,TR,10:00 am-11:20 am,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
20187,AES,411,A,1,Leadership Laboratory,R,04:00 pm-05:55 pm,Apollo-Rex Michael-Kenneth Revelee (P); Allison Marie Galford ; Jeffrey Thomas Guttman,01/23-05/13,MIL 061
80652,AES,431,A,3,National Security Affairs,,TBA,TBA,01/23-05/13,TBA
20188,AES,432,A,3,National Security Affairs,TR,08:30 am-09:50 am,Allison Marie Galford (P); Jeffrey Thomas Guttman ; Apollo-Rex Michael-Kenneth Revelee,01/23-05/13,MIL 061
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
76378,ACE,112,C,5,Advanced Comm Strategies,MWF,04:00 pm-05:15 pm,Dale William Ehrlich (P),01/23-05/13,PBD 021
,,,,,,M,06:30 pm-07:30 pm,TBA,01/23-05/13,BAC 108
77306,ACE,112,D,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,Jennifer Flory Edwards (P),01/23-05/13,BAC 143
,,,,,,M,06:30 pm-07:30 pm,TBA,01/23-05/13,BAC 112
78982,ACE,112,F,5,Advanced Comm Strategies,MWF,11:30 am-12:45 pm,Ebru Dirsel Duffield (P),01/23-05/13,BAC 256
,,,,,,T,06:30 pm-07:30 pm,TBA,01/23-05/13,BAC 108
80587,ACE,112,G,5,Advanced Comm Strategies,MWF,01:00 pm-02:15 pm,Jennifer Flory Edwards (P),01/23-05/13,EGB 162
,,,,,,T,06:30 pm-07:30 pm,TBA,01/23-05/13,BAC 112
76379,ACE,113,A,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,Eun Chong Yang (P),01/23-05/13,BAC 154
76380,ACE,113,B,4,Reading Writing Acad Contexts,MWF,10:00 am-11:15 am,Ebru Dirsel Duffield (P),01/23-05/13,MMH 115
76381,ACE,113,C,4,Reading Writing Acad Contexts,MWF,01:00 pm-02:15 pm,Irena Kola (P),01/23-05/13,BAC 151
78723,ACE,113,F,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,Ebru Dirsel Duffield (P),01/23-05/13,BAC 151
79822,ACE,113,G,4,Reading Writing Acad Contexts,MWF,11:30 am-12:45 pm,Jessica Lynn Harbaum (P),01/23-05/13,BAC 108
80588,ACE,113,H,4,Reading Writing Acad Contexts,MWF,11:30 am-12:45 pm,Irena Kola (P),01/23-05/13,BAC 151
80226,ACE,212,UA,3,Adv Comm Strategies II,MWF,10:00 am-12:05 pm,Jennifer Flory Edwards (P),03/27-05/13,BAC 154
80832,ACE,212,UB,3,Adv Comm Strategies II,MWF,01:00 pm-03:05 pm,Jessica Lynn Harbaum (P),03/27-05/13,HUG 004
78879,ACE,310G,A,3,Practical English Grammar,TR,01:00 pm-02:20 pm,Dale William Ehrlich (P),01/23-05/13,BAC 154
78915,ACE,310G,B,3,Practical English Grammar,MW,01:00 pm-02:20 pm,Dale William Ehrlich (P),01/23-05/13,PBD 029
76384,ACE,619,A,2,Adv Speaking and Presenting,TR,11:30 am-12:25 pm,Jessica Dianna Downey (P),01/23-05/13,BAC 151
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
79843,AMS,105,UA,1,American Studies Film Series,W,06:30 pm-09:00 pm,Kimberly A. Hamlin (P),03/29-05/13,ART 100
68007,AMS,205,A,3,Intro to American Cultures,TR,10:00 am-11:20 am,Laurel Recker (P),01/23-05/13,BEN 115
