CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
,,,,,,W,11:40 am-12:35 pm,TBA,01/29-05/19,UPH 180C,CASC - Social Science
76070,ATH,265,B,4,Intro to Ling Anth,TR,11:40 am-01:00 pm,Leighton C. Peterson (P),01/29-05/19,UPH 180C,CASC - Social Science
,,,,,,W,10:05 am-11:00 am,TBA,01/29-05/19,UPH 180C,CASC - Social Science
76245,ATH,301,A,3,Intercultural Relations,TR,08:30 am-09:50 am,Yang Jiao (P),01/29-05/19,UPH 258,CASC - Social Science and Thematic Sequence
81376,ATH,307,A,3,Middle East/Anthro Perspects,MW,01:15 pm-02:35 pm,Homayun Sidky (P),01/29-05/19,UPH 180C,CASC - Social Science and Thematic Sequence
83031,ATH,312,A,3,North American Archaeology,MW,01:15 pm-02:35 pm,Mary Jane Berman (P),01/29-05/19,UPH 180A,CASC - Social Science
83438,ATH,325,A,3,Identity: Race Gender Class,WF,01:15 pm-02:35 pm,Giovanni Batz (P),01/29-05/19,UPH 163,CASC - Social Science and Thematic Sequence
81383,ATH,358,A,3,Travelers Migrants & Refugees,MF,02:50 pm-04:10 pm,James S. Bielo (P),01/29-05/19,UPH 180C,CASC - Social Science and FND - Global Course and Thematic Sequence
83137,ATH,390B,TA,1,Films:Politics&Society;Russia,T,04:25 pm-06:45 pm,Neringa Klumbyte (P),02/05-03/31,HRN 302,
79284,ATH,395,A,3,Primate Biology and Behavior,TR,02:50 pm-04:10 pm,Linda F. Marchant (P),01/29-05/19,UPH 180B,
81384,ATH,403,A,3,Anthropology of Religion,MW,10:05 am-11:25 am,Homayun Sidky (P),01/29-05/19,UPH 071,
83087,ATH,416,A,3,Applying Archaeology,TR,10:05 am-11:25 am,Jeb Joseph Card (P),01/29-05/19,UPH 180A,CASC - Social Science
83088,ATH,421,A,3,Senior Seminar In Anthropology,R,04:25 pm-07:05 pm,Leighton C. Peterson (P),01/29-05/19,UPH 180C,CASC - Social Science and Senior Capstone
83090,ATH,436,A,3,Havighurst Colloquium,MW,11:40 am-01:00 pm,Neringa Klumbyte (P),01/29-05/19,UPH 226,
77602,ATH,448,A,3,Global Health,TR,01:15 pm-02:35 pm,M. Cameron Hay-Rollins (P),01/29-05/19,UPH 180C,Senior Capstone
83093,ATH,465,A,3,Ethnography of Communication,WF,11:40 am-01:00 pm,James S. Bielo (P),01/29-05/19,UPH 163,CASC - Social Science and Thematic Sequence
83098,ATH,497,A,3,Primate Socio-Ecology,MW,04:25 pm-05:45 pm,Clara JoAnn Scarry (P),01/29-05/19,UPH 180B,CASC - Social Science
,,,,,,,,,,,
,,,,,,,,,,,
79395,ARB,102,A,4,Elementary Arabic II,MWF,10:05 am-11:20 am,Saleh Issa Yousef (P),01/29-05/19,IRV 118,
61100,ARB,102,B,4,Elementary Arabic II,MWF,11:40 am-12:55 pm,Saleh Issa Yousef (P),01/29-05/19,IRV 034,
70266,ARB,202,A,3,Intermediate Modern Arabic,MWF,02:50 pm-03:45 pm,Saleh Issa Yousef (P),01/29-05/19,IRV 034,CASA - Foreign Language and Thematic Sequence
83032,ARB,230,A,3,Arabic Lit. in Translation,TR,10:05 am-11:25 am,Elizabeth M. Bergman (P),01/29-05/19,IRV 034,
67199,ARB,302,A,3,Advanced Arabic,TR,01:15 pm-02:35 pm,Elizabeth M. Bergman (P),01/29-05/19,IRV 034,
74943,ARB,311,A,3,Media Arabic,TR,08:30 am-09:50 am,Elizabeth M. Bergman (P),01/29-05/19,IRV 034,
,,,,,,,,,,,
,,,,,,,,,,,
81883,ARC,102,A,5,Beginning Design Studio,MWF,01:30 pm-04:30 pm,Christie L. Lear (P); John M. Humphries ; Ann Weigand,01/29-05/19,ALU 203,
84026,ARC,103,TA,1.5,Shop Methods and Materials,T,01:15 pm-03:05 pm,Teddy W. Wong (P),02/05-03/31,ALU 010,
84027,ARC,103,TB,1.5,Shop Methods and Materials,R,03:15 pm-05:05 pm,Teddy W. Wong (P),02/05-03/31,ALU 010,
82263,ARC,105,A,3,Introduction To Architecture,TR,04:00 pm-06:40 pm,Christie L. Lear (P),01/29-05/19,ALU 003,
81885,ARC,114,A,2,Graphic Media II,TR,01:15 pm-03:05 pm,John M. Humphries (P),01/29-05/19,ALU 203,
81887,ARC,114,B,2,Graphic Media II,TR,03:15 pm-05:05 pm,John M. Humphries (P),01/29-05/19,ALU 001,
20204,ARC,188,A,3,Ideas In Architecture,MWF,10:05 am-11:00 am,Bennett M. Jacks (P),01/29-05/19,LWS 100,CASB - Humanities and FND - Creative Arts and FND - Humanities
81888,ARC,202,A,5,Architecture Studio,MWF,01:30 pm-04:30 pm,J. E. Elliott (P),01/29-05/19,ALU 109,
81889,ARC,202H,A,5,Architecture Studio,MWF,01:30 pm-04:30 pm,J. E. Elliott (P),01/29-05/19,ALU 109,Honors Course
81892,ARC,204,A,5,Interior Design Studio,MWF,01:30 pm-04:30 pm,J. E. Elliott (P),01/29-05/19,ALU 109,
81894,ARC,204H,A,5,Interior Design Studio,MWF,01:30 pm-04:30 pm,J. E. Elliott (P),01/29-05/19,ALU 109,Honors Course
20207,ARC,211,A,3,Intro:Landscape & Urban Design,MWF,10:05 am-11:00 am,John M. Reynolds (P),01/29-05/19,ALU 001,
81897,ARC,214,A,2,Graphic Media IV,TR,01:00 pm-02:50 pm,Kenny Alan Levick (P),01/29-05/19,ALU 109,
81898,ARC,214,B,2,Graphic Media IV,TR,03:00 pm-04:50 pm,Kenny Alan Levick (P),01/29-05/19,ALU 109,
20208,ARC,222,A,3,History of Architecture II,MWF,08:30 am-09:25 am,Sergio L. Sanabria (P),01/29-05/19,ART 100,FND - Creative Arts and FND - Humanities
73483,ARC,222H,A,3,History of Architecture II,MWF,08:30 am-09:25 am,Sergio L. Sanabria (P),01/29-05/19,ART 100,Historical Perspective and Honors Course and FND - Creative Arts and FND - Humanities
81855,ARC,301,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,Bennett M. Jacks (P); John David Becker ; John A. Blake ; Gulen Cevik ; Patrizio Maria Martinelli ; Sergio L. Sanabria,01/29-05/19,ALU 200,
81859,ARC,302,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,Bennett M. Jacks (P); John David Becker ; John A. Blake ; Gulen Cevik ; Patrizio Maria Martinelli ; Sergio L. Sanabria,01/29-05/19,ALU 001,
81864,ARC,304,A,6,Interior Design Studio,MWF,01:30 pm-05:05 pm,Patrizio Maria Martinelli (P),01/29-05/19,ALU 104,
81865,ARC,309,A,3,Furniture Design & Constructn,TR,10:05 am-12:55 pm,Samuel Duncan Toland (P),01/29-05/19,ALU 200,
81868,ARC,401,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,Bennett M. Jacks (P); John David Becker ; John A. Blake ; Gulen Cevik ; Patrizio Maria Martinelli ; Sergio L. Sanabria,01/29-05/19,ALU 104,
81877,ARC,402,A,6,Architecture Studio,MWF,01:30 pm-05:05 pm,Bennett M. Jacks (P); John David Becker ; John A. Blake ; Gulen Cevik ; Patrizio Maria Martinelli ; Sergio L. Sanabria,01/29-05/19,ALU 104,
81878,ARC,402C,A,6,Sr Studio Capstone Experience,MWF,01:30 pm-05:05 pm,Bennett M. Jacks (P); John David Becker ; John A. Blake ; Gulen Cevik ; Patrizio Maria Martinelli ; Sergio L. Sanabria,01/29-05/19,ALU 201,Senior Capstone
81879,ARC,404F,A,3,Portfolio,W,06:30 pm-09:10 pm,TBA,01/29-05/19,ALU 201,
81880,ARC,404X,A,3,Building Doc in Revit,T,06:30 pm-09:10 pm,Brian Raymond Albrecht (P),01/29-05/19,ALU 201,
82158,ARC,405Q,A,3,Housing Case Studies,MWF,08:30 am-09:25 am,Gerardo Brown-Manrique (P),01/29-05/19,ALU 200,
82163,ARC,406D,A,3,Passive and Low Energy Design,TR,10:05 am-11:25 am,Mary R. Rogero (P),01/29-05/19,ALU 201,
81901,ARC,408,A,6,Interior Design Studio,MWF,01:30 pm-05:05 pm,Gulen Cevik (P),01/29-05/19,ALU 104,Senior Capstone
20218,ARC,411,A,3,Structures I,TR,08:30 am-09:50 am,TBA,01/29-05/19,ALU 001,
20219,ARC,414,A,3,Environmntl Control Systems II,TR,01:15 pm-02:35 pm,Mary Benedict Bonham (P),01/29-05/19,ALU 001,
20220,ARC,418,A,3,Construction Methods,TR,10:05 am-11:25 am,Craig L. Hinrichs (P),01/29-05/19,ALU 001,
