CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
10176,AES,210,A,1,Leadership Laboratory,R,04:25 pm-06:25 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10177,AES,221,A,1,The Development Of Air Power,T,01:15 pm-02:20 pm,Allison Marie Galford (P); Jeffrey Thomas Guttman,08/28-12/16,MIL 061,Thematic Sequence
10178,AES,221,B,1,The Development Of Air Power,R,02:50 pm-03:45 pm,Allison Marie Galford (P); Jeffrey Thomas Guttman,08/28-12/16,MIL 061,Thematic Sequence
10180,AES,310,A,1,Leadership Laboratory,R,04:25 pm-06:25 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10181,AES,331,A,3,Aerospace Ldrshp & Management,TR,10:05 am-11:25 am,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10182,AES,410,A,1,Leadership Laboratory,R,04:25 pm-06:25 pm,Jeffrey Thomas Guttman (P); Allison Marie Galford,08/28-12/16,MIL 061,
10183,AES,431,A,3,National Security Affairs,TR,08:30 am-09:50 am,Allison Marie Galford (P); Jeffrey Thomas Guttman,08/28-12/16,MIL 061,Thematic Sequence
,,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location,Attribute
69841,ACE,111,A,2,Acad Culture International,MTWRF,08:30 am-05:00 pm,Eun Chong Yang (P),08/14-08/26,TBA,
65052,ACE,112,A,5,Advanced Comm Strategies,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,BAC 154,
65053,ACE,112,B,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,TBA,08/28-12/16,BAC 151,
65054,ACE,112,C,5,Advanced Comm Strategies,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,BAC 108,
65055,ACE,112,D,5,Advanced Comm Strategies,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,BOY 228,
65056,ACE,112,E,5,Advanced Comm Strategies,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,KRG 213,
65057,ACE,112,F,5,Advanced Comm Strategies,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,UPH 167,
65059,ACE,112,H,5,Advanced Comm Strategies,MWF,10:05 am-11:20 am,TBA,08/28-12/16,BAC 154,
65060,ACE,112,I,5,Advanced Comm Strategies,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,BAC 151,
66753,ACE,112,K,5,Advanced Comm Strategies,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,BAC 151,
66754,ACE,112,L,5,Advanced Comm Strategies,MWF,10:05 am-11:20 am,TBA,08/28-12/16,TBA,
67928,ACE,112,M,5,Advanced Comm Strategies,MWF,08:30 am-09:45 am,TBA,08/28-12/16,UPH 389,
66942,ACE,112,O,5,Advanced Comm Strategies,MWF,10:05 am-11:20 am,TBA,08/28-12/16,PBD 031,
66943,ACE,112,P,5,Advanced Comm Strategies,MWF,10:05 am-11:20 am,TBA,08/28-12/16,TBA,
66946,ACE,112,Q,5,Advanced Comm Strategies,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,PBD 029,
67930,ACE,112,R,5,Advanced Comm Strategies,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,BOY 228,
67931,ACE,112,S,5,Advanced Comm Strategies,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,BOY 033,
67932,ACE,112,T,5,Advanced Comm Strategies,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,PBD 021,
67933,ACE,112,U,5,Advanced Comm Strategies,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,BAC 250,
65063,ACE,113,A,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,TBA,08/28-12/16,BAC 143,
65066,ACE,113,B,4,Reading Writing Acad Contexts,MWF,10:05 am-11:20 am,TBA,08/28-12/16,BOY 228,
65067,ACE,113,C,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,TBA,08/28-12/16,KRG 207,
65069,ACE,113,E,4,Reading Writing Acad Contexts,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,EGB 266,
65070,ACE,113,F,4,Reading Writing Acad Contexts,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,BAC 154,
65071,ACE,113,G,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,TBA,08/28-12/16,UPH 229,
66756,ACE,113,J,4,Reading Writing Acad Contexts,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,BAC 114,
66757,ACE,113,K,4,Reading Writing Acad Contexts,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,KRG 227,
66947,ACE,113,M,4,Reading Writing Acad Contexts,MWF,10:05 am-11:20 am,TBA,08/28-12/16,KRG 213,
66948,ACE,113,N,4,Reading Writing Acad Contexts,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,BAC 108,
66949,ACE,113,O,4,Reading Writing Acad Contexts,MWF,10:05 am-11:20 am,TBA,08/28-12/16,BOY 033,
66950,ACE,113,P,4,Reading Writing Acad Contexts,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,BAC 134,
67940,ACE,113,S,4,Reading Writing Acad Contexts,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,PBD 016,
67941,ACE,113,T,4,Reading Writing Acad Contexts,MWF,04:25 pm-05:40 pm,TBA,08/28-12/16,KRG 207,
67942,ACE,113,U,4,Reading Writing Acad Contexts,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,KRG 319,
67943,ACE,113,V,4,Reading Writing Acad Contexts,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,KRG 207,
67944,ACE,113,W,4,Reading Writing Acad Contexts,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,BOY 228,
67946,ACE,113,Y,4,Reading Writing Acad Contexts,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,EGB 162,
67947,ACE,113,Z,4,Reading Writing Acad Contexts,MWF,08:30 am-09:45 am,TBA,08/28-12/16,BAC 108,
68780,ACE,113,AA,4,Reading Writing Acad Contexts,MWF,11:40 am-12:55 pm,TBA,08/28-12/16,BOY 033,
68781,ACE,113,AB,4,Reading Writing Acad Contexts,MWF,01:15 pm-02:30 pm,TBA,08/28-12/16,PBD 021,
72482,ACE,113,AC,4,Reading Writing Acad Contexts,MWF,02:50 pm-04:05 pm,TBA,08/28-12/16,PBD 031,
